#tail	head	edge_weight	edge_type
Q5R372	O95619	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q5R372	Q96P16	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q5R372	O60341	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q5R372	Q9UID3	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q5R372	P06400	2.804190e-01	MI:0018 (two hybrid)
Q5R372	O00327	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q5R372	Q9Y3P9	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
Q5R372	P61244	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q5R372	O15516	1.662310e-01	MI:2222 (inference by socio-affinity scoring)
Q5R372	Q16643	2.804190e-01	MI:0018 (two hybrid)
Q99967	Q15717	3.111330e-01	MI:0004 (affinity chromatography technology)
Q99967	P05549	7.500000e-01	MI:0018 (two hybrid)|MI:0047 (far western blotting)|MI:0096 (pull down)|SPIKE
Q99967	P28482	5.687820e-01	MI:0415 (enzymatic study)
Q99967	Q09472	7.500000e-01	MI:0090 (protein complementation assay)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0018 (two hybrid)|SPIKE|MI:0096 (pull down)
Q99967	P41235	7.500000e-01	MI:0018 (two hybrid)|MI:0416 (fluorescence microscopy)|MI:0096 (pull down)|SPIKE
Q99967	Q15796	3.111330e-01	MI:0004 (affinity chromatography technology)
Q99967	Q9UKA1	7.500000e-01	MI:0018 (two hybrid)|MI:0090 (protein complementation assay)|MI:0096 (pull down)
Q99967	Q92481	7.500000e-01	MI:0047 (far western blotting)|MI:0096 (pull down)|SPIKE
Q99967	Q92793	3.111330e-01	MI:0004 (affinity chromatography technology)
Q99967	P20226	4.922930e-01	MI:0096 (pull down)
Q99967	Q92754	7.500000e-01	MI:0018 (two hybrid)|MI:0047 (far western blotting)|MI:0096 (pull down)|SPIKE
Q99967	P84022	7.500000e-01	MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q9UHV2	P42771	7.500000e-01	MI:0018 (two hybrid)|MI:0096 (pull down)|SPIKE
Q9UHV2	P62877	2.804190e-01	MI:0018 (two hybrid)
Q9UHV2	Q9H6Z9	2.804190e-01	MI:0018 (two hybrid)
Q9UHV2	Q92793	7.500000e-01	MI:0018 (two hybrid)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q9UHV2	P61024	1.815520e-01	MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q9UHV2	P11802	7.500000e-01	MI:0096 (pull down)|SPIKE
Q9UHV2	P04792	4.082400e-01	MI:0018 (two hybrid)|MI:0397 (two hybrid array)
Q9UHV2	P51692	2.804190e-01	MI:0018 (two hybrid)
Q9UHV2	Q09472	2.804190e-01	MI:0018 (two hybrid)
Q9UHV2	O94864	7.500000e-01	MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q9UHV2	P30153	3.111330e-01	MI:0004 (affinity chromatography technology)
Q9UHV2	P30279	4.922930e-01	MI:0096 (pull down)
Q9UHV2	Q14764	2.804190e-01	MI:0018 (two hybrid)
Q9UHV2	Q8N726	7.500000e-01	MI:0018 (two hybrid)|MI:0096 (pull down)
Q9UHV2	O00206	2.804190e-01	MI:0018 (two hybrid)
Q9UHV2	Q92831	7.500000e-01	MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q9UHV2	Q8WTS6	7.500000e-01	MI:0018 (two hybrid)|MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
Q9UHV2	Q13263	7.500000e-01	MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q9UHV2	Q9NX04	1.815520e-01	MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q9UHV2	Q96PM5	4.082400e-01	MI:0018 (two hybrid)|MI:0397 (two hybrid array)
Q9UHV2	P21980	2.804190e-01	MI:0018 (two hybrid)
Q9UHV2	P84022	7.500000e-01	MI:0018 (two hybrid)|MI:0663 (confocal microscopy)
O75182	Q09028	3.899580e-01	MI:0676 (tandem affinity purification)
O75182	Q9UBU8	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	Q16254	4.739220e-01	SPIKE
O75182	Q9HCU9	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	Q9UKV0	4.922930e-01	MI:0096 (pull down)
O75182	Q13422	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	P10275	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	O43463	4.739220e-01	SPIKE
O75182	Q14188	4.739220e-01	SPIKE
O75182	Q9UKT9	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	Q9P1Z0	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	Q00987	4.922930e-01	MI:0096 (pull down)
O75182	P29375	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
O75182	P29374	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	Q12824	4.922930e-01	MI:0096 (pull down)
O75182	Q15047	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	P27708	5.220750e-01	MI:0402 (chromatin immunoprecipitation assay)
O75182	Q16637	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	P51531	4.922930e-01	MI:0096 (pull down)
O75182	P51532	4.922930e-01	MI:0096 (pull down)
O75182	P03372	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	P00338	5.220750e-01	MI:0402 (chromatin immunoprecipitation assay)
O75182	P01106	7.500000e-01	MI:0006 (anti bait coimmunoprecipitation)|MI:0663 (confocal microscopy)|MI:0813 (proximity ligation assay)|MI:0402 (chromatin immunoprecipitation assay)
O75182	Q01664	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	P33076	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	Q9Y6D9	4.739220e-01	SPIKE
O75182	Q9NV56	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	O14965	4.922930e-01	MI:0096 (pull down)
O75182	Q96ST3	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
O75182	P19338	5.220750e-01	MI:0402 (chromatin immunoprecipitation assay)
O75182	P61201	4.922930e-01	MI:0096 (pull down)
O75182	P04637	6.412850e-01	MI:0018 (two hybrid)|MI:0004 (affinity chromatography technology)
O75182	Q92769	7.500000e-01	MI:0006 (anti bait coimmunoprecipitation)|SPIKE|MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
O75182	Q01167	7.457060e-01	MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
O75182	Q05516	7.500000e-01	MI:0018 (two hybrid)|SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
O75182	Q15014	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	Q02952	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	Q13547	7.500000e-01	MI:0006 (anti bait coimmunoprecipitation)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0401 (biochemical)|SPIKE
O75182	Q16576	7.500000e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
O75182	Q969G3	4.922930e-01	MI:0096 (pull down)
O75182	Q9BXK1	3.111330e-01	MI:0004 (affinity chromatography technology)
O75182	Q08999	4.739220e-01	SPIKE
Q05066	P61964	3.111330e-01	MI:0004 (affinity chromatography technology)
Q05066	P08047	6.664410e-01	MI:0428 (imaging technique)
Q05066	O15379	4.922930e-01	MI:0096 (pull down)
Q05066	P10275	7.500000e-01	MI:0018 (two hybrid)|NetPath|MI:0096 (pull down)|SPIKE
Q05066	Q14974	4.922930e-01	MI:0096 (pull down)
Q05066	P84022	7.500000e-01	SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q05066	Q09472	7.500000e-01	MI:0415 (enzymatic study)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P35226	Q06587	7.500000e-01	MI:1356 (validated two hybrid)|MI:0676 (tandem affinity purification)|MI:0027 (cosedimentation)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0018 (two hybrid)|MI:1112 (two hybrid prey pooling approach)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)|MI:0397 (two hybrid array)|MI:0096 (pull down)|MI:0401 (biochemical)
P35226	P0C0S5	4.739220e-01	SPIKE
P35226	P02545	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q9UKJ3	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q9UBB9	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P10275	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P67809	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q9H0A0	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P62805	7.500000e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P35226	Q9HCE1	7.500000e-01	MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)
P35226	P14373	4.082400e-01	MI:0018 (two hybrid)|MI:0397 (two hybrid array)
P35226	P60484	7.500000e-01	MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0030 (cross-linking study)|MI:0004 (affinity chromatography technology)
P35226	O60934	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q9UK61	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q16637	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q03164	7.500000e-01	MI:0096 (pull down)|SPIKE
P35226	Q15910	7.500000e-01	MI:0006 (anti bait coimmunoprecipitation)|MI:0029 (cosedimentation through density gradient)
P35226	O75569	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q9UN86	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q02978	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q01844	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q99741	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q96EY7	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	O60264	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q7KZ85	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q9BQG0	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q9UKV8	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q9Y3F4	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P15941	4.922930e-01	MI:0096 (pull down)
P35226	P78527	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q9UHB6	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q16777	5.687820e-01	MI:0415 (enzymatic study)
P35226	Q66GS9	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
P35226	Q92804	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q13162	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q02539	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q00577	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q8N488	7.500000e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P35226	Q13283	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P84090	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P42694	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P18146	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P35226	P51784	7.500000e-01	MI:0676 (tandem affinity purification)|MI:0027 (cosedimentation)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0071 (molecular sieving)|MI:0096 (pull down)
P35226	Q9Y297	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	O43638	2.804190e-01	MI:0018 (two hybrid)
P35226	P49792	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q93009	7.500000e-01	MI:0027 (cosedimentation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0071 (molecular sieving)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P35226	P41182	5.220750e-01	MI:0402 (chromatin immunoprecipitation assay)
P35226	Q15075	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P04908	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q13263	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P49450	2.014610e-01	MI:0401 (biochemical)
P35226	Q14671	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q9ULV3	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P33778	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q12789	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q09472	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q92922	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q92925	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P67870	7.500000e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P35226	P35659	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q13573	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P68431	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q9BRJ7	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P47756	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P42771	4.739220e-01	SPIKE
P35226	Q9NYF8	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q5T3J3	7.500000e-01	MI:0018 (two hybrid)|SPIKE
P35226	Q15554	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P42704	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q9BYJ9	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q96DH6	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	O75177	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P04637	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q13185	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q9H9B1	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P0DMV8	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P52292	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q15029	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q15022	4.138850e-01	MI:0006 (anti bait coimmunoprecipitation)
P35226	Q9UQR0	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q96RR1	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P23396	3.899580e-01	MI:0676 (tandem affinity purification)
P35226	Q16644	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q16643	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q92793	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q9HC52	7.500000e-01	MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)|MI:0027 (cosedimentation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0428 (imaging technique)|MI:0071 (molecular sieving)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)
P35226	O95758	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q9C0J8	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P25490	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	O96019	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q99496	7.500000e-01	MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0018 (two hybrid)|MI:0114 (x-ray crystallography)|MI:1112 (two hybrid prey pooling approach)|MI:0071 (molecular sieving)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)|MI:0397 (two hybrid array)|MI:0096 (pull down)|MI:0401 (biochemical)
P35226	P20226	2.636330e-01	MI:0027 (cosedimentation)
P35226	Q9Y2W1	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q9Y230	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q05516	7.500000e-01	MI:0401 (biochemical)|MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
P35226	P49368	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q13315	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P11388	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P61077	7.500000e-01	MI:0114 (x-ray crystallography)|MI:0096 (pull down)
P35226	Q9H9S0	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q6ZU80	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
P35226	Q9BUZ4	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P51531	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P51532	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P22087	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	O75665	3.333910e-02	MI:1313 (bioid)|MI:1314 (proximity-dependent biotin identification)
P35226	P61964	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q8NDX5	7.500000e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P35226	O00257	7.500000e-01	MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)
P35226	Q9UL18	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q14151	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P19338	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q6W2J9	5.220750e-01	MI:0402 (chromatin immunoprecipitation assay)
P35226	P23769	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P16104	7.500000e-01	MI:0428 (imaging technique)|MI:0415 (enzymatic study)|MI:0004 (affinity chromatography technology)
P35226	P63244	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q6Y7W6	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q96PK6	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P45973	5.364690e-01	MI:0401 (biochemical)|MI:0004 (affinity chromatography technology)
P35226	O95071	7.500000e-01	MI:0428 (imaging technique)|MI:0004 (affinity chromatography technology)
P35226	Q9NRR4	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P46100	5.364690e-01	MI:0401 (biochemical)|MI:0004 (affinity chromatography technology)
P35226	Q92769	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q16891	7.500000e-01	MI:0018 (two hybrid)|MI:0004 (affinity chromatography technology)|SPIKE
P35226	Q86U42	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q14839	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P48634	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	O00746	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q14974	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q12906	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q12905	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q07666	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P09874	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q92993	7.500000e-01	MI:0018 (two hybrid)|SPIKE
P35226	Q12873	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q16539	5.687820e-01	MI:0415 (enzymatic study)
P35226	Q15717	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	Q9ULT8	3.899580e-01	MI:0676 (tandem affinity purification)
P35226	P63279	7.500000e-01	MI:0018 (two hybrid)|MI:0397 (two hybrid array)|SPIKE
P35226	Q3ZCQ8	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	P06576	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P35226	P35637	3.111330e-01	MI:0004 (affinity chromatography technology)
P35226	Q3KNV8	4.082400e-01	MI:0018 (two hybrid)|MI:0397 (two hybrid array)
P10145	P10914	7.500000e-01	MI:0412 (electrophoretic mobility supershift assay)|MI:0004 (affinity chromatography technology)
P10145	O60885	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P10145	P35869	5.597090e-01	MI:0412 (electrophoretic mobility supershift assay)
P10145	P18827	7.500000e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)
P10145	Q16695	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P10145	Q92793	5.220750e-01	MI:0402 (chromatin immunoprecipitation assay)
P10145	P46379	2.804190e-01	MI:0018 (two hybrid)
P10145	P04150	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P10145	O15111	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P10145	P01023	7.500000e-01	MI:0892 (solid phase assay)|MI:0404 (comigration in non denaturing gel electrophoresis)
P10145	Q09472	7.500000e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P10145	O15379	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P10145	P17676	7.500000e-01	MI:0412 (electrophoretic mobility supershift assay)|MI:0007 (anti tag coimmunoprecipitation)|MI:0402 (chromatin immunoprecipitation assay)
P10145	Q14653	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P10145	Q04864	5.597090e-01	MI:0412 (electrophoretic mobility supershift assay)
P10145	P23396	7.500000e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0402 (chromatin immunoprecipitation assay)
P10145	P14780	4.757100e-01	MI:0435 (protease assay)
P10145	O14920	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P10145	P20749	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P10145	O95863	5.220750e-01	MI:0402 (chromatin immunoprecipitation assay)
P10145	P16220	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P10145	P18146	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P10145	Q9H9B1	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P10145	Q9Y618	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P10145	Q14103	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
Q02548	Q00526	1.815520e-01	MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q02548	P10275	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
Q02548	Q9H334	4.739220e-01	SPIKE
Q02548	P45984	1.815520e-01	MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q02548	P61024	1.815520e-01	MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q02548	P06400	7.500000e-01	MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q02548	Q02363	7.500000e-01	NetPath|SPIKE
Q02548	Q9UBE0	1.815520e-01	MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q02548	Q03164	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
Q02548	P68400	1.815520e-01	MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q02548	P24863	1.815520e-01	MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q02548	P28482	5.687820e-01	MI:0415 (enzymatic study)
Q02548	Q969S2	1.815520e-01	MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q02548	Q9UER7	7.500000e-01	MI:0019 (coimmunoprecipitation)|MI:0018 (two hybrid)|MI:0096 (pull down)|SPIKE
Q02548	P46527	5.220750e-01	MI:0402 (chromatin immunoprecipitation assay)
Q02548	Q09472	7.500000e-01	MI:0415 (enzymatic study)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q02548	Q01196	4.922930e-01	MI:0096 (pull down)
Q02548	Q9NX04	1.815520e-01	MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q02548	P10242	3.111330e-01	MI:0004 (affinity chromatography technology)
Q02548	O75934	1.815520e-01	MI:0397 (two hybrid array)|MI:1112 (two hybrid prey pooling approach)
Q02548	P20226	7.500000e-01	MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q16576	Q9NV56	3.111330e-01	MI:0004 (affinity chromatography technology)
Q16576	Q9Y4K3	4.739220e-01	SPIKE
Q16576	O75469	3.111330e-01	MI:0004 (affinity chromatography technology)
Q16576	Q9UBS0	3.111330e-01	MI:0004 (affinity chromatography technology)
Q16576	Q15672	7.500000e-01	MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
Q16576	O75182	7.500000e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
Q16576	P62993	7.500000e-01	MI:0096 (pull down)|SPIKE
Q16576	O15379	4.739220e-01	SPIKE
Q16576	Q15022	7.500000e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
Q16576	Q03164	3.111330e-01	MI:0004 (affinity chromatography technology)
Q16576	P40337	3.111330e-01	MI:0004 (affinity chromatography technology)
